Subject,Location
RACE: Proctor Invite (Skate),"8551 Grand Ave, Duluth, MN 55808"
RACE: Cook County Invite (Classic),"1 Pincushion Dr, Grand Marais, MN 55604"
RACE: Cloquet (Skate),"1106 Olympic Dr, Cloquet, MN 55720"
RACE: Mesabi East Invite (Skate),"6329 Wynne Creek Dr, Biwabik, MN 55708"
RACE: Mesabi East Triangular (Skate),"6329 Wynne Creek Dr, Biwabik, MN 55708"
RACE: Mora 5k Classic (Classic),"401 Nordic Center Drive, Mora, MN 55051"
RACE: Marshall Sprints (Classic),"8551 Grand Ave, Duluth, MN 55808"
RACE: Two Harbors Invite (Classic),"1711 Korkki Rd, Duluth, MN 55804"
RACE: Ely Pursuits/Sprints (Classic Sprint),"1258 Hidden Valley Rd, Ely, MN 55731"
RACE: Duluth East Invite / LSC (Pursuit),"4348 Rice Lake Rd, Duluth, MN 55811"
RACE: Section 7 Meet (Classic Sprint),"6329 Wynne Creek Dr, Biwabik, MN 55708"
RACE: JV Champs (Skate),"1106 Olympic Dr, Cloquet, MN 55720"
RACE: MSHSL State Meet (Classic Sprint),"6329 Wynne Creek Dr, Biwabik, MN 55708"
RACE: MSHSL State Meet (Classic),"6329 Wynne Creek Dr, Biwabik, MN 55708"
